date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:34:09	41517/41517	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2011:38:33%20GMT	https://preview.colorlib.com/theme/electro/	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/index.html	(from )
12:34:09	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
12:34:10	22701/22701	---M-Z	200	added ('OK')	text/css	etag:%2258ad-5c1f9bcd53101-gzip%22	https://preview.colorlib.com/theme/electro/css/bootstrap.min.css	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/electro/)
12:34:10	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/slick.css	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/css/slick.css	(from https://preview.colorlib.com/theme/electro/)
12:34:10	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%22c49-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/slick-theme.css	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/css/slick-theme.css	(from https://preview.colorlib.com/theme/electro/)
12:34:10	48/48	---MCZ	200	added ('OK')	text/css	etag:W/%2230-5c1f9bcd540a1%22	https://preview.colorlib.com/theme/electro/css/nouislider.min.css	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/css/nouislider.min.css	(from https://preview.colorlib.com/theme/electro/)
12:34:11	2131/2131	---M-Z	200	added ('OK')	text/css	etag:%22853-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/font-awesome.min.css	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/electro/)
12:34:11	41057/41057	---M-Z	200	added ('OK')	text/css	etag:%22a061-5c1f9bcd540a1-gzip%22	https://preview.colorlib.com/theme/electro/css/style.css	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/css/style.css	(from https://preview.colorlib.com/theme/electro/)
12:34:11	2251/2251	---M--	200	added ('OK')	image/png	etag:%228cb-56749bcd67c80%22	https://preview.colorlib.com/theme/electro/img/logo.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/logo.png	(from https://preview.colorlib.com/theme/electro/)
12:34:11	287437/287437	---M--	200	added ('OK')	image/png	etag:%22462cd-56749bf575b00%22	https://preview.colorlib.com/theme/electro/img/product01.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product01.png	(from https://preview.colorlib.com/theme/electro/)
12:34:12	190321/190321	---M--	200	added ('OK')	image/png	etag:%222e771-56749c0e41580%22	https://preview.colorlib.com/theme/electro/img/product02.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product02.png	(from https://preview.colorlib.com/theme/electro/)
12:34:12	175826/175826	---M--	200	added ('OK')	image/png	etag:%222aed2-56749c9889bc0%22	https://preview.colorlib.com/theme/electro/img/shop01.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/shop01.png	(from https://preview.colorlib.com/theme/electro/)
12:34:12	211715/211715	---M--	200	added ('OK')	image/png	etag:%2233b03-56749cb802600%22	https://preview.colorlib.com/theme/electro/img/shop03.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/shop03.png	(from https://preview.colorlib.com/theme/electro/)
12:34:13	258774/258774	---M--	200	added ('OK')	image/png	etag:%223f2d6-56749ce4d4fc0%22	https://preview.colorlib.com/theme/electro/img/shop02.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/shop02.png	(from https://preview.colorlib.com/theme/electro/)
12:34:13	234903/234903	---M--	200	added ('OK')	image/png	etag:%2239597-56749c2db9fc0%22	https://preview.colorlib.com/theme/electro/img/product03.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product03.png	(from https://preview.colorlib.com/theme/electro/)
12:34:13	197972/197972	---M--	200	added ('OK')	image/png	etag:%2230554-56749c41c0f00%22	https://preview.colorlib.com/theme/electro/img/product04.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product04.png	(from https://preview.colorlib.com/theme/electro/)
12:34:14	124399/124399	---M--	200	added ('OK')	image/png	etag:%221e5ef-56749c51f7540%22	https://preview.colorlib.com/theme/electro/img/product05.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product05.png	(from https://preview.colorlib.com/theme/electro/)
12:34:14	222902/222902	---M--	200	added ('OK')	image/png	etag:%22366b6-56749c6bb7200%22	https://preview.colorlib.com/theme/electro/img/product06.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product06.png	(from https://preview.colorlib.com/theme/electro/)
12:34:14	174505/174505	---M--	200	added ('OK')	image/png	etag:%222a9a9-56749c7ce1a80%22	https://preview.colorlib.com/theme/electro/img/product07.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product07.png	(from https://preview.colorlib.com/theme/electro/)
12:34:14	227676/227676	---M--	200	added ('OK')	image/png	etag:%223795c-56749c90e89c0%22	https://preview.colorlib.com/theme/electro/img/product08.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product08.png	(from https://preview.colorlib.com/theme/electro/)
12:34:14	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266f525c6-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/electro/)
12:34:15	207240/207240	---M--	200	added ('OK')	image/png	etag:%2232988-56749c89477c0%22	https://preview.colorlib.com/theme/electro/img/product09.png	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/img/product09.png	(from https://preview.colorlib.com/theme/electro/)
12:34:15	85582/85582	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4e-56749cccfd780-gzip%22	https://preview.colorlib.com/theme/electro/js/jquery.min.js	C:/Users/lenovo/Desktop/I%20swear/preview.colorlib.com/theme/electro/js/jquery.min.js	(from https://preview.colorlib.com/theme/electro/)
